Sector of Institution,Reporting Location,Offense,Date,Count
"Public, less-than 2-year",Non-Campus,Hate Crime - Murder,sum2014,0
"Private nonprofit, less-than 2-year",Non-Campus,Hate Crime - Murder,sum2014,0
"Private for-profit, less-than 2-year",Non-Campus,Hate Crime - Murder,sum2014,0
"Public, 4-year or above",Non-Campus,Hate Crime - Murder,sum2015,0
"Private nonprofit, 4-year or above",Non-Campus,Hate Crime - Murder,sum2015,0
"Private for-profit, 4-year or above",Non-Campus,Hate Crime - Murder,sum2015,0
"Public, 2-year",Non-Campus,Hate Crime - Murder,sum2015,0
"Private nonprofit, 2-year",Non-Campus,Hate Crime - Murder,sum2015,0
"Private for-profit, 2-year",Non-Campus,Hate Crime - Murder,sum2015,0
"Public, less-than 2-year",Non-Campus,Hate Crime - Murder,sum2015,0
"Private nonprofit, less-than 2-year",Non-Campus,Hate Crime - Murder,sum2015,0
"Private for-profit, less-than 2-year",Non-Campus,Hate Crime - Murder,sum2015,0
"Public, 4-year or above",Public Property,Hate Crime - Murder,sum2013,0
"Private nonprofit, 4-year or above",Public Property,Hate Crime - Murder,sum2013,0
"Private for-profit, 4-year or above",Public Property,Hate Crime - Murder,sum2013,0
"Public, 2-year",Public Property,Hate Crime - Murder,sum2013,0
"Private nonprofit, 2-year",Public Property,Hate Crime - Murder,sum2013,0
"Private for-profit, 2-year",Public Property,Hate Crime - Murder,sum2013,0
"Public, less-than 2-year",Public Property,Hate Crime - Murder,sum2013,0
"Private nonprofit, less-than 2-year",Public Property,Hate Crime - Murder,sum2013,0
"Private for-profit, less-than 2-year",Public Property,Hate Crime - Murder,sum2013,0
"Public, 4-year or above",Public Property,Hate Crime - Murder,sum2014,0
"Private nonprofit, 4-year or above",Public Property,Hate Crime - Murder,sum2014,0
"Private for-profit, 4-year or above",Public Property,Hate Crime - Murder,sum2014,0
"Public, 2-year",Public Property,Hate Crime - Murder,sum2014,0
"Private nonprofit, 2-year",Public Property,Hate Crime - Murder,sum2014,0
"Private for-profit, 2-year",Public Property,Hate Crime - Murder,sum2014,0
"Public, less-than 2-year",Public Property,Hate Crime - Murder,sum2014,0
"Private nonprofit, less-than 2-year",Public Property,Hate Crime - Murder,sum2014,0
"Private for-profit, less-than 2-year",Public Property,Hate Crime - Murder,sum2014,0
"Public, 4-year or above",Public Property,Hate Crime - Murder,sum2015,0
"Private nonprofit, 4-year or above",Public Property,Hate Crime - Murder,sum2015,0
"Private for-profit, 4-year or above",Public Property,Hate Crime - Murder,sum2015,0
"Public, 2-year",Public Property,Hate Crime - Murder,sum2015,0
"Private nonprofit, 2-year",Public Property,Hate Crime - Murder,sum2015,0
"Private for-profit, 2-year",Public Property,Hate Crime - Murder,sum2015,0
"Public, less-than 2-year",Public Property,Hate Crime - Murder,sum2015,0
"Private nonprofit, less-than 2-year",Public Property,Hate Crime - Murder,sum2015,0
"Private for-profit, less-than 2-year",Public Property,Hate Crime - Murder,sum2015,0
"Public, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Forcible Sex Offenses,sum2013,1
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Forcible Sex Offenses,sum2013,3
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Forcible Sex Offenses,sum2013,0
"Public, 2-year",On Campus (excluding Residence Halls),Hate Crime - Forcible Sex Offenses,sum2013,0
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Forcible Sex Offenses,sum2013,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Forcible Sex Offenses,sum2013,0
"Public, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Forcible Sex Offenses,sum2013,0
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Forcible Sex Offenses,sum2013,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Forcible Sex Offenses,sum2013,0
"Public, 4-year or above",On Campus (Residence Halls),Hate Crime - Forcible Sex Offenses,sum2013,0
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Hate Crime - Forcible Sex Offenses,sum2013,4
"Private for-profit, 4-year or above",On Campus (Residence Halls),Hate Crime - Forcible Sex Offenses,sum2013,0
"Public, 2-year",On Campus (Residence Halls),Hate Crime - Forcible Sex Offenses,sum2013,0
"Private nonprofit, 2-year",On Campus (Residence Halls),Hate Crime - Forcible Sex Offenses,sum2013,0
"Private for-profit, 2-year",On Campus (Residence Halls),Hate Crime - Forcible Sex Offenses,sum2013,0
"Public, less-than 2-year",On Campus (Residence Halls),Hate Crime - Forcible Sex Offenses,sum2013,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Forcible Sex Offenses,sum2013,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Forcible Sex Offenses,sum2013,0
"Public, 4-year or above",Non-Campus,Hate Crime - Forcible Sex Offenses,sum2013,0
"Private nonprofit, 4-year or above",Non-Campus,Hate Crime - Forcible Sex Offenses,sum2013,0
"Private for-profit, 4-year or above",Non-Campus,Hate Crime - Forcible Sex Offenses,sum2013,0
"Public, 2-year",Non-Campus,Hate Crime - Forcible Sex Offenses,sum2013,0
"Private nonprofit, 2-year",Non-Campus,Hate Crime - Forcible Sex Offenses,sum2013,0
"Private for-profit, 2-year",Non-Campus,Hate Crime - Forcible Sex Offenses,sum2013,0
"Public, less-than 2-year",Non-Campus,Hate Crime - Forcible Sex Offenses,sum2013,0
"Private nonprofit, less-than 2-year",Non-Campus,Hate Crime - Forcible Sex Offenses,sum2013,0
"Private for-profit, less-than 2-year",Non-Campus,Hate Crime - Forcible Sex Offenses,sum2013,0
"Public, 4-year or above",Public Property,Hate Crime - Forcible Sex Offenses,sum2013,0
"Private nonprofit, 4-year or above",Public Property,Hate Crime - Forcible Sex Offenses,sum2013,0
"Private for-profit, 4-year or above",Public Property,Hate Crime - Forcible Sex Offenses,sum2013,0
"Public, 2-year",Public Property,Hate Crime - Forcible Sex Offenses,sum2013,0
"Private nonprofit, 2-year",Public Property,Hate Crime - Forcible Sex Offenses,sum2013,0
"Private for-profit, 2-year",Public Property,Hate Crime - Forcible Sex Offenses,sum2013,0
"Public, less-than 2-year",Public Property,Hate Crime - Forcible Sex Offenses,sum2013,0
"Private nonprofit, less-than 2-year",Public Property,Hate Crime - Forcible Sex Offenses,sum2013,0
"Private for-profit, less-than 2-year",Public Property,Hate Crime - Forcible Sex Offenses,sum2013,0
"Public, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Rape,sum2014,0
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Rape,sum2014,1
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Rape,sum2014,0
"Public, 2-year",On Campus (excluding Residence Halls),Hate Crime - Rape,sum2014,0
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Rape,sum2014,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Rape,sum2014,0
"Public, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Rape,sum2014,0
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Rape,sum2014,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Rape,sum2014,0
"Public, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Rape,sum2015,0
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Rape,sum2015,0
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Rape,sum2015,0
"Public, 2-year",On Campus (excluding Residence Halls),Hate Crime - Rape,sum2015,0
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Rape,sum2015,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Rape,sum2015,0
"Public, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Rape,sum2015,0
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Rape,sum2015,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Rape,sum2015,0
"Public, 4-year or above",On Campus (Residence Halls),Hate Crime - Rape,sum2014,0
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Hate Crime - Rape,sum2014,2
"Private for-profit, 4-year or above",On Campus (Residence Halls),Hate Crime - Rape,sum2014,0
"Public, 2-year",On Campus (Residence Halls),Hate Crime - Rape,sum2014,0
"Private nonprofit, 2-year",On Campus (Residence Halls),Hate Crime - Rape,sum2014,0
"Private for-profit, 2-year",On Campus (Residence Halls),Hate Crime - Rape,sum2014,0
"Public, less-than 2-year",On Campus (Residence Halls),Hate Crime - Rape,sum2014,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Rape,sum2014,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Rape,sum2014,0
"Public, 4-year or above",On Campus (Residence Halls),Hate Crime - Rape,sum2015,2
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Hate Crime - Rape,sum2015,2
"Private for-profit, 4-year or above",On Campus (Residence Halls),Hate Crime - Rape,sum2015,0
"Public, 2-year",On Campus (Residence Halls),Hate Crime - Rape,sum2015,1
"Private nonprofit, 2-year",On Campus (Residence Halls),Hate Crime - Rape,sum2015,0
"Private for-profit, 2-year",On Campus (Residence Halls),Hate Crime - Rape,sum2015,0
"Public, less-than 2-year",On Campus (Residence Halls),Hate Crime - Rape,sum2015,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Rape,sum2015,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Rape,sum2015,0
"Public, 4-year or above",Non-Campus,Hate Crime - Rape,sum2014,0
"Private nonprofit, 4-year or above",Non-Campus,Hate Crime - Rape,sum2014,0
"Private for-profit, 4-year or above",Non-Campus,Hate Crime - Rape,sum2014,0
"Public, 2-year",Non-Campus,Hate Crime - Rape,sum2014,0
"Private nonprofit, 2-year",Non-Campus,Hate Crime - Rape,sum2014,0
"Private for-profit, 2-year",Non-Campus,Hate Crime - Rape,sum2014,0
"Public, less-than 2-year",Non-Campus,Hate Crime - Rape,sum2014,0
"Private nonprofit, less-than 2-year",Non-Campus,Hate Crime - Rape,sum2014,0
"Private for-profit, less-than 2-year",Non-Campus,Hate Crime - Rape,sum2014,0
"Public, 4-year or above",Non-Campus,Hate Crime - Rape,sum2015,0
"Private nonprofit, 4-year or above",Non-Campus,Hate Crime - Rape,sum2015,0
"Private for-profit, 4-year or above",Non-Campus,Hate Crime - Rape,sum2015,0
"Public, 2-year",Non-Campus,Hate Crime - Rape,sum2015,0
"Private nonprofit, 2-year",Non-Campus,Hate Crime - Rape,sum2015,0
"Private for-profit, 2-year",Non-Campus,Hate Crime - Rape,sum2015,0
"Public, less-than 2-year",Non-Campus,Hate Crime - Rape,sum2015,0
"Private nonprofit, less-than 2-year",Non-Campus,Hate Crime - Rape,sum2015,0
"Private for-profit, less-than 2-year",Non-Campus,Hate Crime - Rape,sum2015,0
"Public, 4-year or above",Public Property,Hate Crime - Rape,sum2014,0
"Private nonprofit, 4-year or above",Public Property,Hate Crime - Rape,sum2014,1
"Private for-profit, 4-year or above",Public Property,Hate Crime - Rape,sum2014,0
"Public, 2-year",Public Property,Hate Crime - Rape,sum2014,0
"Private nonprofit, 2-year",Public Property,Hate Crime - Rape,sum2014,0
"Private for-profit, 2-year",Public Property,Hate Crime - Rape,sum2014,0
"Public, less-than 2-year",Public Property,Hate Crime - Rape,sum2014,0
"Private nonprofit, less-than 2-year",Public Property,Hate Crime - Rape,sum2014,0
"Private for-profit, less-than 2-year",Public Property,Hate Crime - Rape,sum2014,0
"Public, 4-year or above",Public Property,Hate Crime - Rape,sum2015,0
"Private nonprofit, 4-year or above",Public Property,Hate Crime - Rape,sum2015,0
"Private for-profit, 4-year or above",Public Property,Hate Crime - Rape,sum2015,0
"Public, 2-year",Public Property,Hate Crime - Rape,sum2015,0
"Private nonprofit, 2-year",Public Property,Hate Crime - Rape,sum2015,0
"Private for-profit, 2-year",Public Property,Hate Crime - Rape,sum2015,0
"Public, less-than 2-year",Public Property,Hate Crime - Rape,sum2015,0
"Private nonprofit, less-than 2-year",Public Property,Hate Crime - Rape,sum2015,0
"Private for-profit, less-than 2-year",Public Property,Hate Crime - Rape,sum2015,0
"Public, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Fondling,sum2014,0
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Fondling,sum2014,1
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Fondling,sum2014,0
"Public, 2-year",On Campus (excluding Residence Halls),Hate Crime - Fondling,sum2014,0
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Fondling,sum2014,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Fondling,sum2014,0
"Public, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Fondling,sum2014,0
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Fondling,sum2014,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Fondling,sum2014,0
"Public, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Fondling,sum2015,1
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Fondling,sum2015,0
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Fondling,sum2015,0
"Public, 2-year",On Campus (excluding Residence Halls),Hate Crime - Fondling,sum2015,0
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Fondling,sum2015,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Fondling,sum2015,0
"Public, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Fondling,sum2015,0
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Fondling,sum2015,1
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Fondling,sum2015,0
"Public, 4-year or above",On Campus (Residence Halls),Hate Crime - Fondling,sum2014,0
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Hate Crime - Fondling,sum2014,0
"Private for-profit, 4-year or above",On Campus (Residence Halls),Hate Crime - Fondling,sum2014,0
"Public, 2-year",On Campus (Residence Halls),Hate Crime - Fondling,sum2014,0
"Private nonprofit, 2-year",On Campus (Residence Halls),Hate Crime - Fondling,sum2014,0
"Private for-profit, 2-year",On Campus (Residence Halls),Hate Crime - Fondling,sum2014,0
"Public, less-than 2-year",On Campus (Residence Halls),Hate Crime - Fondling,sum2014,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Fondling,sum2014,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Fondling,sum2014,0
"Public, 4-year or above",On Campus (Residence Halls),Hate Crime - Fondling,sum2015,0
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Hate Crime - Fondling,sum2015,0
"Private for-profit, 4-year or above",On Campus (Residence Halls),Hate Crime - Fondling,sum2015,0
"Public, 2-year",On Campus (Residence Halls),Hate Crime - Fondling,sum2015,0
